PB010,PB020,PB030,PB040,PB060,PB100,PB110,PB120,PB130,PB140,PB150,PB190,PB200,PB220A,PE010,PE020,PE040,PL031,PL035,PL015,PL020,PL025,PL040,PL050,PL051,PL060,PL100,PL111,PL120,PL130,PL140,PL150,PL160,PL170,PL180,PL190,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PY020N,PY035N,PY010G,PY020G,PY021G,PY030G,PY031G,PY035G,PY050G,PY080G,PY090G,PY100G,PY110G,PY120G,PY130G,PY140G,PY200G,PX010,PX020,PX030,PX040,PX050,PT005,PT010,PT020,PT030,PT040,PT050,PT060,PT070,PT080,PT090,PT100,PT110,PT120,PT130,PT140,PT150,PT160,PT170,PT180,PT190,PT200,PT210,DB040,NR_ITW
2011,BE,276292,739.030023094688,NA,1,2011,2,2,1943,2,2,1,BE,2,NA,5,7,NA,1,NA,NA,3,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,1,14,2,1,3,2,NA,2,NA,0,1,0,0,0,15306,1,0,0,0,0,10649,0,0,0,0,1,1,67,27629,1,3,0,NA,2,1,2,NA,NA,1,1922,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,5,NA,BE22,BE22-3
2011,BE,276491,739.030023094688,NA,2,2011,17,4,1942,1,5,1,BE,2,NA,0,7,1,NA,NA,NA,3,82,8,35,NA,NA,NA,13,1,1,2,NA,NA,24,2,2,3,2,NA,1,NA,0,1,0,0,0,0,1,0,0,0,0,21062,0,0,0,0,1,1,68,27649,1,7,946.31,NA,5,2,NA,NA,1,NA,NA,NA,1,1,2,1,2,NA,5,2,NA,NA,4,NA,BE22,BE22-2
2011,BE,276492,739.030023094688,NA,1,2011,10,3,1930,2,4,3,BE,2,NA,1,7,NA,1,NA,NA,2,83,7,20,NA,k,NA,3,1,2,NA,NA,NA,18,1,2,1,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,14355,1307,0,0,0,1,1,80,27649,1,6,938.3372,1,NA,NA,NA,1919,NA,4,NA,4,3,NA,3,NA,2,1,2,NA,NA,NA,4,1,BE22,BE22-2
2011,BE,276501,739.030023094688,NA,2,2011,6,3,1961,1,2,3,BE,2,NA,3,1,NA,NA,NA,NA,3,41,7,30,NA,g,NA,NA,1,2,NA,NA,NA,19,2,2,3,2,NA,2,NA,0,1,30909,0,0,16109,1,0,0,0,0,0,0,0,0,0,1,1,49,27650,1,3,1129.192,1,3,1,4,1944,2,1,NA,NA,NA,1,1,1,2,7,NA,NA,NA,3,5,1,BE22,BE22-2
2011,BE,276502,739.030023094688,NA,NA,2011,9,2,1961,1,2,1,BE,2,NA,2,1,1,NA,NA,NA,3,22,7,75,NA,b-e,NA,2,1,NA,2,NA,NA,NA,3,2,3,2,NA,1,NA,0,1,31645,1824,0,0,1,0,0,0,0,0,0,0,0,0,1,1,49,27650,1,6,0,1,2,2,NA,NA,NA,1,1960,NA,NA,1,1,1,NA,2,NA,NA,NA,5,6,2,BE22,BE22-2
2011,BE,276831,739.030023094688,NA,2,2011,11,4,1957,2,2,1,BE,2,5,3,5,NA,1,NA,NA,3,91,5,NA,NA,NA,NA,NA,1,2,NA,NA,NA,24,3,1,3,2,NA,2,1,0,1,0,0,0,0,1,0,0,0,6442,0,0,0,0,0,1,1,53,27683,1,2,0,NA,4,NA,NA,1915,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BE22,BE22-3
2011,BE,276832,739.030023094688,NA,2,2011,18,1,1987,2,1,3,BE,2,NA,5,6,NA,NA,NA,NA,3,83,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,20,3,1,2,2,NA,2,NA,0,1,4513,0,0,3272,1,0,0,0,0,0,0,0,0,0,1,1,23,27683,1,7,0,NA,2,3,NA,NA,NA,1,1931,NA,1,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,BE22,BE22-3
2011,BE,276881,739.030023094688,NA,2,2011,11,1,1943,1,2,NA,BE,2,NA,3,7,NA,NA,NA,NA,NA,91,7,NA,NA,NA,NA,11,1,2,2,NA,NA,21,1,1,3,2,NA,2,NA,4440,1,0,0,0,2293,1,0,0,0,0,9744,0,0,0,0,1,1,67,27688,1,2,0,1,2,3,1,NA,NA,NA,1951,NA,1,NA,1,5,1,NA,NA,NA,NA,NA,2,1,BE22,BE22-4
2011,BE,276882,739.030023094688,NA,2,2011,24,3,1946,2,2,1,BE,2,NA,3,7,NA,1,NA,NA,3,51,4,NA,NA,NA,NA,NA,2,2,1,NA,NA,17,4,1,3,2,NA,2,1,0,1,0,0,0,13805,1,0,0,0,0,13007,0,0,0,0,1,1,64,27688,1,7,963.3672,3,NA,NA,NA,NA,NA,4,NA,NA,1,NA,1,NA,2,NA,NA,NA,2,NA,NA,NA,BE22,BE22-4
2011,BE,276891,739.030023094688,NA,1,2011,14,3,1981,1,1,1,BE,2,NA,3,5,NA,NA,NA,1,2,51,4,NA,NA,NA,NA,3,1,1,NA,NA,NA,22,3,2,2,2,NA,2,NA,0,1,17104,722,0,7520,1,0,0,0,0,0,0,0,0,0,1,1,29,27689,1,6,0,NA,2,4,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,2,4,1,BE22,BE22-2
2011,BE,276892,739.030023094688,NA,1,2011,7,2,1986,2,1,2,BE,2,NA,5,1,NA,1,NA,NA,3,NA,2,NA,NA,p,NA,NA,1,1,NA,NA,NA,22,4,1,2,2,NA,2,NA,0,1,12132,478,0,0,1,0,0,0,0,0,0,0,0,0,1,1,24,27689,1,2,1225.591,NA,NA,NA,NA,1924,NA,NA,1953,NA,NA,NA,2,NA,2,2,5,NA,NA,NA,4,NA,BE22,BE22-2
2011,BE,277001,739.030023094688,NA,2,2011,12,3,1947,1,2,3,BE,1,NA,2,7,NA,1,NA,NA,3,52,3,NA,NA,b-e,3,NA,NA,1,NA,NA,NA,13,3,2,3,2,NA,2,NA,636,1,0,0,0,0,1,0,0,0,0,13784,0,0,0,0,1,1,63,27700,1,7,0,NA,2,3,NA,1956,1,NA,1954,2,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,BE22,BE22-4
2011,BE,277002,739.030023094688,NA,1,2011,14,1,1948,2,2,3,BE,2,NA,5,1,NA,NA,NA,NA,3,34,2,40,NA,r-u,NA,10,1,2,2,NA,NA,16,2,2,2,2,NA,2,NA,0,1,34588,0,0,17895,1,0,0,0,0,0,0,0,0,0,1,1,62,27700,1,2,0,1,2,2,1,1940,NA,1,NA,1,NA,1,NA,3,2,3,NA,2,NA,5,NA,NA,BE22,BE22-4
2011,BE,277301,739.030023094688,NA,2,2011,17,1,1944,1,2,3,BE,2,NA,1,7,NA,NA,NA,NA,3,51,7,NA,NA,NA,NA,6,NA,NA,2,NA,NA,18,1,1,3,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,10604,0,0,0,0,1,1,66,27730,1,2,0,NA,4,NA,1,NA,1,1,1928,2,NA,NA,NA,NA,NA,2,1,NA,7,NA,5,NA,BE22,BE22-2
2011,BE,277302,739.030023094688,NA,2,2011,7,3,1943,2,2,1,BE,2,NA,3,7,NA,1,NA,1,3,91,9,NA,NA,NA,NA,NA,1,2,NA,NA,NA,16,2,1,2,2,NA,2,1,0,1,0,0,0,12725,1,0,0,0,0,9142,0,0,0,0,1,1,67,27730,1,2,0,NA,NA,2,NA,1956,NA,1,NA,NA,NA,NA,NA,1,2,8,NA,NA,NA,NA,NA,1,BE22,BE22-2
2011,BE,277381,739.030023094688,NA,1,2011,2,4,1942,1,2,3,BE,1,NA,3,7,NA,NA,NA,NA,3,41,3,NA,4,NA,NA,11,1,1,2,NA,NA,21,1,1,3,2,NA,1,NA,0,1,0,0,0,4030,1,0,0,0,0,23772,0,0,0,0,1,1,68,27738,1,7,1191.559,1,NA,5,1,NA,NA,NA,NA,1,1,2,1,NA,2,3,1,2,2,NA,5,NA,BE22,BE22-1
2011,BE,277382,739.030023094688,NA,2,2011,12,3,1944,2,2,NA,BE,2,NA,2,7,NA,1,NA,NA,3,32,5,NA,NA,NA,NA,NA,1,1,2,NA,NA,19,3,1,3,2,NA,2,NA,0,1,0,0,0,12404,1,0,0,0,0,0,22497,0,0,0,1,1,66,27738,1,2,2129.32,NA,NA,2,NA,NA,1,NA,1953,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,2,BE22,BE22-1
2011,BE,277421,739.030023094688,NA,1,2011,11,3,1951,1,2,1,BE,2,NA,5,1,1,NA,NA,NA,3,41,4,40,NA,i,4,NA,1,1,2,NA,NA,23,2,2,3,2,NA,2,NA,5006,1,92383,2824,2824,5808,1,0,0,0,0,0,0,0,0,0,1,1,59,27742,1,7,425.9,1,2,1,NA,1938,1,1,1951,1,2,1,2,2,1,NA,5,2,NA,5,5,1,BE22,BE22-3
2011,BE,277422,739.030023094688,NA,1,2011,17,2,1955,2,2,2,BE,1,2,1,10,NA,2,NA,NA,3,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,NA,2,NA,0,1,0,0,0,4114,1,0,0,0,0,0,0,0,0,0,1,1,55,27742,1,2,0,NA,NA,NA,NA,1927,4,NA,1957,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,BE22,BE22-3
2011,BE,277441,739.030023094688,NA,2,2011,9,2,1948,2,2,1,BE,1,NA,3,10,NA,2,2,NA,NA,NA,0 - 1,22,NA,NA,NA,NA,NA,2,2,NA,NA,22,1,2,3,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,62,27744,1,7,0,3,2,6,NA,1950,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,5,NA,NA,BE22,BE22-5
2011,BE,277442,739.030023094688,NA,2,2011,16,3,1981,2,1,1,BE,2,NA,2,2,1,NA,NA,NA,3,23,9,NA,NA,k,NA,13,1,2,1,NA,NA,20,2,2,3,2,NA,2,NA,0,1,5903,0,0,15000,1,0,19724,0,0,0,0,0,0,0,1,1,29,27744,1,2,726.1446,1,2,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,3,1,NA,9,NA,NA,1,BE22,BE22-5
2011,BE,277481,739.030023094688,NA,2,2011,19,2,1970,1,1,3,BE,2,NA,3,3,1,NA,NA,NA,3,41,NA,30,NA,b-e,NA,13,NA,1,2,NA,NA,14,1,2,3,2,NA,1,NA,0,1,0,0,0,7894,1,0,41885,0,0,0,0,0,0,0,1,1,40,27748,1,2,678.3355,1,2,3,1,NA,1,1,1946,1,1,3,2,1,1,2,5,NA,2,5,2,2,BE22,BE22-3
2011,BE,277482,739.030023094688,NA,2,2011,13,1,1970,2,5,1,BE,2,NA,5,1,1,NA,NA,NA,3,24,NA,40,NA,j,NA,13,1,NA,2,NA,NA,22,3,2,3,2,NA,2,NA,100,1,60947,1873,0,0,1,0,0,0,0,0,0,0,0,0,1,1,40,27748,1,6,907.8705,1,2,2,2,1921,1,1,1915,NA,1,3,3,1,1,5,5,2,NA,NA,5,3,BE22,BE22-3
2011,BE,277811,739.030023094688,NA,2,2011,9,4,1945,1,2,3,BE,2,NA,2,7,NA,1,NA,NA,3,52,7,19,NA,NA,6,NA,1,2,2,NA,NA,19,3,2,1,2,NA,2,NA,0,1,0,0,0,15558,1,0,0,0,0,22308,0,0,0,0,1,1,65,27781,1,3,543.2925,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,NA,BE22,BE22-1
2011,BE,277812,739.030023094688,NA,1,2011,9,3,1940,2,2,3,BE,2,NA,2,7,NA,1,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,2,3,NA,NA,2,NA,0,1,0,0,0,15567,1,0,0,0,0,277,0,0,0,0,1,1,70,27781,1,5,0,NA,2,NA,1,1925,NA,4,NA,NA,NA,3,NA,1,2,NA,NA,NA,NA,NA,3,NA,BE22,BE22-1
2011,BE,277971,739.030023094688,NA,1,2011,15,1,1966,2,2,NA,BE,2,NA,5,1,1,NA,NA,NA,3,34,3,35,NA,q,NA,13,NA,NA,2,NA,NA,21,3,2,3,2,NA,2,NA,0,1,31305,910,0,0,1,0,0,0,0,0,0,0,0,0,1,1,44,27797,1,2,804.5484,1,NA,2,1,NA,1,1,1949,1,NA,NA,1,1,2,4,NA,2,NA,5,4,NA,BE22,BE22-3
2011,BE,277972,739.030023094688,NA,2,2011,14,2,1988,1,1,1,BE,1,NA,3,6,NA,1,2,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,2,3,2,NA,2,NA,384,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,22,27797,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,3,NA,NA,BE22,BE22-3
2011,BE,278211,739.030023094688,NA,2,NA,7,1,1970,1,2,1,EU,2,NA,5,1,1,NA,NA,NA,3,91,3,NA,NA,b-e,NA,15,1,2,2,NA,NA,23,1,2,3,2,NA,2,NA,0,1,30906,1099,0,0,1,0,0,0,0,0,0,0,0,0,1,1,40,27821,1,5,1291.377,1,2,2,NA,1953,1,1,NA,2,2,2,1,1,NA,3,2,NA,NA,3,3,2,BE22,BE22-4
2011,BE,278212,739.030023094688,NA,2,2011,34,1,1970,2,1,1,BE,2,NA,5,1,1,NA,NA,NA,3,23,2,50,NA,p,NA,8,1,1,2,NA,4,18,2,2,3,2,NA,2,NA,335,1,28896,0,0,13255,1,0,0,0,0,0,0,0,0,0,1,1,40,27821,1,2,1382.697,NA,2,NA,1,-1,NA,1,NA,1,1,1,3,NA,2,NA,NA,NA,NA,4,-1,NA,BE22,BE22-4
2011,BE,278301,739.030023094688,NA,1,2011,8,3,1973,1,2,1,EU,2,NA,3,1,1,NA,NA,NA,3,32,3,65,NA,h,NA,13,1,2,2,NA,NA,28,2,1,3,2,NA,2,8,0,1,61773,2103,0,9533,1,0,0,0,0,0,0,0,0,0,1,1,37,27830,1,2,662.8901,1,2,3,2,1927,1,1,1956,NA,2,NA,2,1,2,2,5,NA,2,5,1,1,BE22,BE22-2
2011,BE,278302,739.030023094688,NA,2,2011,7,3,1975,2,2,3,BE,2,NA,3,1,1,NA,NA,NA,3,31,8,50,NA,l-n,NA,12,NA,2,2,NA,NA,26,3,2,3,2,NA,2,NA,0,1,27994,0,0,11125,1,0,0,0,0,0,0,0,0,0,1,1,35,27830,1,2,1177.485,3,2,4,0,1952,NA,1,NA,1,1,1,1,1,1,NA,NA,2,2,4,5,1,BE22,BE22-2
2011,BE,278321,739.030023094688,NA,2,2011,2,1,1930,1,1,NA,BE,1,NA,1,7,NA,NA,NA,NA,3,32,8,40,NA,NA,NA,13,1,2,2,NA,NA,23,1,2,3,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,27228,0,0,0,0,1,1,80,27832,1,2,814.0505,1,NA,NA,NA,1940,NA,NA,NA,1,1,2,2,1,1,9,2,NA,NA,5,3,NA,BE22,BE22-3
2011,BE,278322,739.030023094688,NA,2,2011,9,4,1962,2,1,1,BE,2,NA,2,2,1,NA,NA,NA,3,71,4,NA,NA,g,NA,13,1,2,2,1,NA,23,1,2,3,2,NA,2,7,0,1,25355,0,0,7715,1,0,0,0,0,0,0,0,0,0,1,1,48,27832,1,3,0,1,2,1,1,1944,NA,1,NA,3,1,2,1,1,NA,NA,NA,2,NA,5,5,1,BE22,BE22-3
2011,BE,278371,739.030023094688,NA,2,2011,5,2,1946,2,2,NA,BE,2,4,2,10,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,2,3,2,NA,NA,NA,1320,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,64,27837,1,6,0,1,NA,NA,NA,1922,NA,NA,1922,NA,NA,2,3,NA,NA,8,5,NA,5,4,2,NA,BE22,BE22-4
2011,BE,278372,739.030023094688,NA,2,2011,10,4,1950,1,2,1,BE,2,NA,1,7,1,NA,NA,NA,3,71,8,NA,NA,NA,NA,11,1,NA,2,NA,NA,23,2,1,3,2,NA,2,NA,0,1,0,0,0,12451,1,0,0,0,24951,0,0,0,0,0,1,1,60,27837,1,8,0,1,NA,NA,2,1934,1,1,1936,NA,NA,NA,2,1,2,3,NA,NA,4,3,4,NA,BE22,BE22-4
2011,BE,278561,739.030023094688,NA,3,2011,6,3,1978,2,2,3,EU,2,NA,3,5,1,1,NA,NA,3,91,4,NA,NA,NA,NA,6,NA,2,NA,NA,10,14,1,2,3,2,NA,2,NA,0,1,10698,388,0,0,1,0,0,0,1449,0,0,0,0,0,1,1,32,27856,1,5,594.0746,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,5,2,BE22,BE22-4
2011,BE,278571,739.030023094688,NA,2,2011,14,3,1974,1,1,1,BE,2,NA,5,1,1,NA,NA,NA,3,72,3,19,NA,l-n,NA,12,1,1,2,NA,NA,21,1,2,3,2,NA,2,NA,0,1,30915,1065,557,8887,1,0,0,0,0,0,0,0,0,0,1,1,36,27857,1,2,880.5628,NA,2,NA,2,NA,1,NA,1930,4,1,NA,NA,NA,2,7,1,NA,5,5,2,NA,BE22,BE22-4
2011,BE,278572,739.030023094688,NA,2,2011,22,3,1979,2,2,3,BE,2,NA,3,1,NA,NA,NA,NA,3,34,5,NA,NA,i,NA,NA,NA,1,NA,NA,NA,16,4,2,2,2,NA,2,NA,0,1,21272,24,0,12117,1,0,0,0,0,0,0,0,0,0,1,1,31,27857,1,2,0,NA,6,3,NA,1937,1,NA,NA,NA,1,NA,NA,NA,2,7,NA,NA,NA,NA,NA,2,BE22,BE22-4
2011,BE,278881,739.030023094688,NA,2,2011,6,1,1973,1,2,1,BE,2,NA,5,1,1,NA,NA,NA,3,42,0 - 1,38,NA,k,NA,13,1,1,2,NA,NA,23,2,2,3,2,NA,2,NA,0,1,70941,3772,0,25776,1,0,0,0,0,0,0,3969,0,0,1,1,37,27888,1,7,1513.807,1,2,2,2,1924,1,1,1921,1,2,3,3,1,2,7,NA,NA,2,4,6,1,BE22,BE22-3
2011,BE,278882,739.030023094688,NA,2,2011,12,1,1975,2,1,3,BE,2,NA,5,1,NA,1,NA,NA,3,NA,2,NA,NA,h,3,13,1,NA,2,NA,NA,17,2,2,3,2,NA,2,NA,30,1,17937,524,0,11453,1,0,0,0,0,0,0,0,0,0,1,1,35,27888,1,2,0,NA,NA,NA,NA,NA,1,NA,1934,NA,NA,NA,2,1,NA,NA,NA,2,NA,NA,NA,2,BE22,BE22-3
2011,BE,279081,739.030023094688,NA,2,2011,4,3,1948,2,2,3,BE,2,NA,4,7,1,NA,NA,NA,2,52,2,36,NA,NA,NA,NA,2,1,NA,NA,NA,19,4,1,1,2,NA,1,NA,0,1,0,0,0,16844,1,0,0,0,15948,0,0,0,0,0,1,1,62,27908,1,2,0,1,3,2,NA,1916,1,NA,1939,NA,NA,1,NA,NA,NA,5,5,2,9,5,NA,1,BE22,BE22-2
2011,BE,279082,739.030023094688,NA,2,2011,10,1,1981,2,1,1,BE,2,NA,3,1,1,NA,NA,NA,3,51,4,NA,NA,p,NA,NA,1,2,2,NA,NA,26,3,2,3,2,NA,2,NA,0,1,20803,960,960,13195,1,0,0,0,0,0,0,0,0,0,1,1,29,27908,1,7,0,NA,2,2,NA,1948,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,BE22,BE22-2
2011,BE,279121,739.030023094688,NA,2,2011,13,3,1950,1,2,1,BE,2,NA,3,1,NA,NA,NA,NA,3,83,3,50,NA,o,NA,13,NA,1,NA,NA,NA,23,2,1,3,2,NA,2,NA,0,1,50730,1706,0,18160,1,0,0,0,0,0,0,0,0,0,1,1,60,27912,1,2,883.3609,1,1,3,NA,1926,NA,1,1938,1,1,2,1,1,1,2,1,2,3,5,5,1,BE22,BE22-5
2011,BE,279122,739.030023094688,NA,1,2011,2,1,1953,1,2,3,BE,2,NA,3,5,NA,1,2,NA,3,24,3,NA,NA,NA,NA,NA,1,2,NA,NA,NA,18,2,2,1,2,NA,2,NA,0,1,0,0,0,29850,1,0,0,0,3364,0,0,0,0,0,1,1,57,27912,1,2,0,NA,NA,NA,NA,1949,2,1,NA,NA,1,NA,2,NA,1,3,NA,NA,NA,6,3,2,BE22,BE22-5
2011,BE,279541,739.030023094688,NA,2,2011,9,4,1930,1,2,3,BE,2,5,2,7,NA,2,2,NA,NA,42,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,2,3,2,NA,NA,NA,0,1,0,0,0,9055,1,0,0,0,0,0,0,0,0,0,1,1,80,27954,1,2,0,NA,NA,NA,NA,NA,4,NA,1925,NA,NA,NA,1,NA,NA,NA,NA,NA,3,2,5,NA,BE22,BE22-2
2011,BE,279542,739.030023094688,NA,2,2011,57,4,1930,2,4,1,BE,1,5,1,10,NA,2,2,NA,3,NA,NA,NA,NA,i,NA,3,NA,NA,NA,NA,3,20,NA,2,3,2,NA,2,NA,0,1,0,0,0,10055,1,0,0,0,0,0,0,0,0,0,1,1,80,27954,1,6,828.1574,4,NA,NA,NA,NA,NA,NA,1955,1,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,1,BE22,BE22-2
2011,BE,279591,739.030023094688,NA,1,2011,26,4,1948,1,2,1,BE,2,NA,2,7,NA,NA,NA,NA,3,51,7,NA,NA,NA,6,NA,1,2,2,NA,NA,18,4,1,3,2,NA,2,NA,7214,1,0,0,0,19843,1,0,0,0,0,3364,17658,0,0,0,1,1,62,27959,1,6,0,1,NA,3,2,NA,1,NA,1938,NA,NA,NA,NA,NA,NA,7,3,NA,NA,3,1,NA,BE22,BE22-2
2011,BE,279592,739.030023094688,NA,1,2011,1,3,1949,2,2,3,BE,2,NA,5,2,NA,NA,NA,NA,3,32,2,40,NA,g,NA,13,1,1,2,NA,NA,24,2,2,3,2,NA,2,NA,0,1,57594,0,0,21832,1,0,0,0,0,0,0,0,0,0,1,1,61,27959,1,2,819.2272,1,2,1,2,1928,1,1,1934,1,1,2,3,2,1,2,1,NA,3,5,4,1,BE22,BE22-2
2011,BE,279631,739.030023094688,NA,2,2011,13,3,1985,2,1,1,BE,1,5,3,5,NA,1,NA,NA,NA,74,NA,38,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,2,3,2,NA,2,NA,1232,1,0,0,0,12295,1,0,0,0,473,0,0,0,0,0,1,1,25,27963,1,2,742.8675,NA,NA,NA,NA,1935,1,1,NA,NA,1,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,BE22,BE22-1
2011,BE,279632,739.030023094688,NA,2,2011,7,2,1981,1,2,1,BE,1,NA,2,5,1,NA,NA,NA,3,51,5,75,NA,NA,NA,13,NA,2,2,NA,NA,25,3,2,3,2,NA,2,NA,0,1,0,0,0,14251,1,0,0,0,24855,0,0,0,0,0,1,1,29,27963,1,2,0,1,2,3,NA,1946,1,NA,1930,NA,1,NA,1,1,2,NA,NA,NA,3,5,NA,2,BE22,BE22-1
2011,BE,279641,739.030023094688,NA,1,2011,5,1,1949,1,2,1,BE,2,5,1,7,NA,NA,2,NA,3,91,8,NA,NA,NA,NA,NA,1,1,2,NA,NA,19,4,2,2,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,15343,0,0,0,0,1,1,61,27964,1,2,334.6275,1,4,1,4,NA,NA,NA,1942,1,NA,1,NA,NA,1,7,NA,NA,NA,NA,5,1,BE22,BE22-4
2011,BE,279642,739.030023094688,NA,1,2011,4,2,1944,2,2,3,BE,1,NA,2,7,NA,2,NA,NA,3,NA,9,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,3,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,66,27964,1,6,0,NA,7,1,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,BE22,BE22-4
2011,BE,280041,739.030023094688,NA,2,2011,26,1,1950,1,2,1,BE,2,NA,3,1,1,NA,NA,NA,3,41,7,37,NA,f,NA,8,1,2,2,NA,NA,22,2,2,3,2,NA,2,NA,0,1,56833,0,0,12648,1,0,0,0,0,0,0,0,0,0,1,1,60,28004,1,7,582.6313,NA,2,1,4,1933,1,1,1933,4,1,3,1,1,1,8,5,2,NA,5,4,2,BE22,BE22-4
2011,BE,280042,739.030023094688,NA,2,2011,4,1,1948,2,2,3,BE,1,3,2,10,NA,1,NA,NA,NA,31,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,3,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,62,28004,1,2,0,NA,NA,7,NA,1913,4,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BE22,BE22-4
2011,BE,280051,739.030023094688,NA,1,2011,11,3,1963,2,5,3,BE,2,NA,1,1,1,NA,NA,NA,3,91,7,50,NA,f,NA,13,1,2,2,NA,NA,17,1,2,3,2,NA,2,NA,0,1,38308,911,0,0,1,0,0,0,0,0,0,0,0,0,1,1,47,28005,1,2,599.4968,1,3,1,1,1924,1,4,1950,1,1,1,2,1,NA,NA,NA,2,NA,5,5,NA,BE22,BE22-2
2011,BE,280052,739.030023094688,NA,NA,2011,21,2,1958,1,2,1,BE,2,NA,1,1,1,NA,NA,NA,3,32,3,32,10,b-e,NA,13,1,1,2,NA,NA,17,1,2,3,2,NA,2,NA,0,1,48330,0,0,16885,1,0,0,0,0,0,0,0,0,0,1,1,52,28005,1,2,2709.088,1,2,1,1,1953,NA,NA,1928,1,1,2,1,NA,2,7,1,2,NA,5,6,1,BE22,BE22-2
2011,BE,280081,739.030023094688,NA,1,2011,24,3,1941,2,2,3,EU,2,NA,3,10,1,1,2,NA,3,93,NA,NA,NA,NA,6,NA,1,NA,2,NA,NA,35,2,2,3,2,NA,2,1,1200,1,0,0,0,0,1,0,0,0,0,4784,0,0,0,0,1,1,69,28008,1,5,0,1,NA,NA,NA,1922,NA,NA,NA,1,NA,NA,3,1,NA,8,NA,NA,NA,NA,3,1,BE22,BE22-4
2011,BE,280082,739.030023094688,NA,2,2011,22,3,1943,1,2,2,BE,2,NA,5,7,1,NA,NA,NA,3,NA,2,NA,NA,NA,NA,13,1,2,2,NA,NA,21,2,1,3,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,16976,0,0,0,0,1,1,67,28008,1,2,0,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,-1,NA,NA,7,NA,NA,5,4,3,NA,BE22,BE22-4
2011,BE,280381,739.030023094688,NA,1,NA,4,1,1950,1,2,NA,BE,2,NA,2,1,1,NA,NA,NA,3,34,3,50,NA,g,NA,12,1,2,2,NA,NA,22,2,1,3,2,NA,2,NA,0,1,53666,0,0,17183,1,0,0,0,1223,0,0,0,0,0,1,1,60,28038,1,2,756.8879,1,8,2,1,1932,1,1,1944,NA,1,-1,2,1,1,8,5,NA,9,5,NA,1,BE22,BE22-2
2011,BE,280382,739.030023094688,NA,2,2011,11,2,1954,2,2,1,BE,2,NA,2,2,1,NA,NA,NA,3,41,4,37,NA,o,2,11,1,2,2,NA,10,41,1,2,3,2,NA,1,NA,0,1,26340,0,0,0,1,0,0,0,3227,0,0,0,0,0,1,1,56,28038,1,7,1192.53,1,2,2,1,NA,2,1,NA,1,1,3,1,1,2,NA,5,NA,3,5,5,NA,BE22,BE22-2
